"language" "repetition" "vot" "consonant"
"english" 2 69.93 "t"
"english" 3 60.18 "t"
"english" 1 49.76 "t"
"english" 2 58.66 "t"
"english" 3 64.99 "t"
"english" 1 44.5 "t"
"english" 2 50.77 "t"
"english" 3 51.79 "t"
"english" 1 15.3 "d"
"english" 2 0.56 "d"
"english" 3 13.16 "d"
"english" 1 14.89 "d"
"english" 2 6.42 "d"
"english" 3 23.86 "d"
"english" 1 15.31 "d"
"english" 2 26.29 "d"
"english" 3 11.16 "d"
"english" 1 52.59 "t"
"english" 2 50.15 "t"
"english" 3 53.65 "t"
"english" 1 37.48 "t"
"english" 2 31.71 "t"
"english" 3 58.82 "t"
"english" 1 46.94 "t"
"english" 2 57.23 "t"
"english" 3 56.26 "t"
"english" 1 14.71 "d"
"english" 2 23.8 "d"
"english" 3 12.63 "d"
"english" 1 17.87 "d"
"english" 2 20.57 "d"
"english" 3 -2.53 "d"
"english" 1 18.47 "d"
"english" 2 13.31 "d"
"english" 3 10.27 "d"
"english" 1 76.57 "t"
"english" 2 46.72 "t"
"english" 3 57.85 "t"
"english" 1 49.9 "t"
"english" 2 44.52 "t"
"english" 3 67.15 "t"
"english" 1 45.83 "t"
"english" 2 66.33 "t"
"english" 3 50.25 "t"
"english" 1 13.11 "d"
"english" 2 16.57 "d"
"english" 3 8.26 "d"
"english" 1 19.27 "d"
"english" 2 29.28 "d"
"english" 3 24.22 "d"
"english" 1 10.75 "d"
"english" 2 16.95 "d"
"english" 3 21.88 "d"
"english" 1 33.9 "t"
"english" 2 44.82 "t"
"english" 3 35.3 "t"
"english" 1 22.87 "t"
"english" 2 20.32 "t"
"english" 3 58.95 "t"
"english" 1 26.52 "t"
"english" 2 27.35 "t"
"english" 3 36.54 "t"
"spanish" 1 -41.93 "d"
"spanish" 2 -64.41 "d"
"spanish" 3 -44.48 "d"
"spanish" 1 -45.12 "d"
"spanish" 2 -63.25 "d"
"spanish" 3 -49.36 "d"
"spanish" 1 -73.28 "d"
"spanish" 2 -50.38 "d"
"spanish" 3 -79.97 "d"
"spanish" 1 8.91 "t"
"spanish" 2 5.81 "t"
"spanish" 3 9.47 "t"
"spanish" 1 -5.55 "t"
"spanish" 2 5.64 "t"
"spanish" 3 5.87 "t"
"spanish" 1 14.22 "t"
"spanish" 2 7.76 "t"
"spanish" 3 9.04 "t"
"english" 1 7.64 "d"
"english" 2 12.81 "d"
"english" 3 8.29 "d"
"english" 1 -2.25 "d"
"english" 2 16.49 "d"
"english" 3 13.39 "d"
"english" 1 18.78 "d"
"english" 2 19.35 "d"
"english" 3 19.45 "d"
"english" 1 40.74 "t"
"english" 2 30.95 "t"
"english" 3 50.07 "t"
"english" 1 38.43 "t"
"english" 2 62.99 "t"
"english" 3 15.24 "t"
"english" 1 69.94 "t"
"english" 2 27.41 "t"
"english" 3 47.98 "t"
"spanish" 1 -61.49 "d"
"spanish" 2 -62.35 "d"
"spanish" 3 -64.53 "d"
"spanish" 1 -54.49 "d"
"spanish" 2 -48.42 "d"
"spanish" 3 -50.36 "d"
"spanish" 1 -58.83 "d"
"spanish" 2 -57.78 "d"
"spanish" 3 -57.16 "d"
"spanish" 1 14.69 "t"
"spanish" 2 -7.38 "t"
"spanish" 3 -6.39 "t"
"spanish" 1 -4.74 "t"
"spanish" 2 15.08 "t"
"spanish" 3 8 "t"
"spanish" 1 16.11 "t"
"spanish" 2 14.5 "t"
"spanish" 3 -0.9 "t"
"english" 1 7.24 "d"
"english" 2 9.79 "d"
"english" 3 23.68 "d"
"english" 1 5.54 "d"
"english" 2 15.83 "d"
"english" 3 14.86 "d"
"english" 1 12.47 "d"
"english" 2 21.93 "d"
"english" 3 19.39 "d"
"english" 1 43.03 "t"
"english" 2 33.92 "t"
"english" 3 27.47 "t"
"english" 1 33.61 "t"
"english" 2 20.98 "t"
"english" 3 28.12 "t"
"english" 1 30.95 "t"
"english" 2 40.53 "t"
"english" 3 47.73 "t"
"spanish" 1 -60.07 "d"
"spanish" 2 -51.82 "d"
"spanish" 3 -38.56 "d"
"spanish" 1 -60.83 "d"
"spanish" 2 -64.89 "d"
"spanish" 3 -65.19 "d"
"spanish" 1 -58.16 "d"
"spanish" 2 -61.14 "d"
"spanish" 3 -62.35 "d"
"spanish" 1 16.61 "t"
"spanish" 2 -3.47 "t"
"spanish" 3 0.77 "t"
"spanish" 1 19.27 "t"
"spanish" 2 12.34 "t"
"spanish" 3 -0.34 "t"
"spanish" 1 -2.18 "t"
"spanish" 2 -3.37 "t"
"spanish" 3 3.27 "t"
"english" 1 8.32 "d"
"english" 2 5.86 "d"
"english" 3 16.31 "d"
"english" 1 21.04 "d"
"english" 2 2.38 "d"
"english" 3 19.69 "d"
"english" 1 24.79 "d"
"english" 2 21.42 "d"
"english" 3 12.74 "d"
"english" 1 39.99 "t"
"english" 2 63.41 "t"
"english" 3 73.64 "t"
"english" 1 42.19 "t"
"english" 2 16.6 "t"
"english" 3 23.57 "t"
"english" 1 40.17 "t"
"english" 2 36.66 "t"
"english" 3 40.43 "t"
"spanish" 1 -52.77 "d"
